seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr19	23758509	23759068	560	*	X368	319924	23758887	23949596	190710	+	0	overlapStart	0	Apba1
chr19	24555777	24556319	543	*	X369	18719	24294794	24555872	261079	-	0	overlapStart	0	Pip5k1b
chr19	24999205	24999746	542	*	X370	76088	24999534	25202432	202899	+	0	overlapStart	0	Dock8
chr19	29251440	29252041	602	*	X372	16452	29251828	29313080	61253	+	0	overlapStart	0	Jak2
chr19	29522106	29522635	530	*	X373	226089	29522282	29606829	84548	+	0	overlapStart	0	Ric1
chr19	29805781	29806287	507	*	X374	240613	29714402	29805989	91588	-	0	overlapStart	0	9930021J03Rik
chr19	30030491	30031039	549	*	X375	109113	30030513	30093722	63210	+	0	overlapStart	0	Uhrf2
chr19	32387953	32388402	450	*	X376	67188	32389216	32391190	1975	+	813	upstream	813	2700046G09Rik
chr19	37207541	37207850	310	*	X378	69104	37207543	37222151	14609	+	0	overlapStart	0	Marchf5
chr19	40831095	40831604	510	*	X380	240665	40831279	40848572	17294	+	0	overlapStart	0	Ccnj
chr19	41482450	41482505	56	*	X381	212391	41482637	41586536	103900	+	131	upstream	131	Lcor
chr19	41482611	41482910	300	*	X382	212391	41482637	41586536	103900	+	0	overlapStart	0	Lcor
chr19	41829954	41830580	627	*	X384	14296	41829970	41832583	2614	+	0	overlapStart	0	Frat1
chr19	41847445	41848168	724	*	X385	212398	41845972	41848132	2161	-	0	overlapStart	0	Frat2
chr19	42090527	42090868	342	*	X386	84095	42090470	42122087	31618	+	0	inside	56	Pi4k2a
chr19	42147479	42147600	122	*	X387	277010	42147400	42151703	4304	+	0	inside	78	Marveld1
chr19	42147674	42147885	212	*	X388	277010	42147400	42151703	4304	+	0	inside	273	Marveld1
chr19	46044782	46045146	365	*	X390	16825	46031570	46045214	13645	-	0	inside	67	Ldb1
chr19	46044782	46045146	365	*	X390	226169	46044886	46072915	28030	+	0	overlapStart	0	Pprc1
chr19	47579596	47580073	478	*	X393	20874	47579678	47645246	65569	+	0	overlapStart	0	Slk
chr19	47579475	47579556	82	*	X394	20874	47579678	47645246	65569	+	121	upstream	121	Slk
chr19	53310562	53310992	431	*	X395	17859	53310518	53375810	65293	+	0	inside	43	Mxi1
chr19	53945021	53945419	399	*	X398	100503572	53929861	53944627	14767	-	393	upstream	393	Bbip1
chr19	57361039	57361345	307	*	X401	320879	57323193	57360775	37583	-	263	upstream	263	B230217O12Rik
chr19	57360789	57360842	54	*	X402	226252	57360680	57389586	28907	+	0	inside	108	Fam160b1
chr19	57360789	57360842	54	*	X402	320879	57323193	57360775	37583	-	13	upstream	13	B230217O12Rik
chr19	59345664	59346119	456	*	X403	107368	59297178	59345780	48603	-	0	overlapStart	0	Pdzd8
chr2	18056842	18056902	61	*	X405	102466840	18057846	18057903	58	+	943	upstream	943	Mir7655
chr2	18056585	18056624	40	*	X406	102466840	18057846	18057903	58	+	1221	upstream	1221	Mir7655
chr2	18676336	18676618	283	*	X407	12151	18677018	18686629	9612	+	399	upstream	399	Bmi1
chr2	18997998	18998226	229	*	X408	18718	18842255	18998126	155872	-	0	overlapStart	0	Pip4k2a
chr2	18997998	18998226	229	*	X408	74629	18998343	18999804	1462	+	116	upstream	116	4930426L09Rik
chr2	18998298	18998350	53	*	X409	18718	18842255	18998126	155872	-	171	upstream	171	Pip4k2a
chr2	18998298	18998350	53	*	X409	74629	18998343	18999804	1462	+	0	overlapStart	0	4930426L09Rik
chr2	20968584	20969030	447	*	X410	433408	20969054	20969997	944	+	23	upstream	23	Gm13375
chr2	20968584	20969030	447	*	X410	71435	20847919	20968881	120963	-	0	overlapStart	0	Arhgap21
chr2	24949826	24950023	198	*	X411	67187	24949792	24962075	12284	+	0	inside	33	Zmynd19
chr2	25242049	25242415	367	*	X412	67859	25238818	25242452	3635	-	0	inside	36	Cysrt1
chr2	25242049	25242415	367	*	X412	68846	25242929	25244261	1333	+	513	upstream	513	Rnf208
chr2	25982826	25983262	437	*	X413	227634	25926838	25983282	56445	-	0	inside	19	Camsap1
chr2	26122575	26122835	261	*	X414	67991	26055535	26122818	67284	-	0	overlapStart	0	Nacc2
chr2	31245876	31246218	343	*	X417	14299	31245823	31295989	50167	+	0	inside	52	Ncs1
chr2	32150971	32150984	14	*	X418	227723	32151082	32234537	83456	+	97	upstream	97	Prrc2b
chr2	32151160	32151512	353	*	X419	227723	32151082	32234537	83456	+	0	inside	77	Prrc2b
chr2	32712643	32713082	440	*	X420	100499514	32712807	32712888	82	-	0	includeFeature	0	Mir2861
chr2	32712643	32713082	440	*	X420	100628606	32712900	32712972	73	-	0	includeFeature	0	Mir3960
chr2	32712643	32713082	440	*	X420	107951	32705784	32713076	7293	-	0	overlapStart	0	Cdk9
chr2	37703404	37703672	269	*	X425	20744	37483228	37703859	220632	-	0	inside	186	Strbp
chr2	44927348	44927458	111	*	X427	227835	44564412	44927657	363246	-	0	inside	198	Gtdc1
chr2	70825448	70825751	304	*	X429	228012	70712407	70825728	113322	-	0	overlapStart	0	Tlk1
chr2	72979804	72980189	386	*	X431	20687	72936427	72980446	44020	-	0	inside	256	Sp3
chr2	73774988	73775177	190	*	X432	108699	73610660	73775346	164687	-	0	inside	168	Chn1
chr2	73775252	73775309	58	*	X433	108699	73610660	73775346	164687	-	0	inside	36	Chn1
chr2	80580957	80581329	373	*	X436	50884	80500512	80581380	80869	-	0	inside	50	Nckap1
chr2	90580217	90580610	394	*	X437	19271	90429754	90580647	150894	-	0	inside	36	Ptprj
chr2	93334366	93334757	392	*	X442	241556	93201760	93334505	132746	-	0	overlapStart	0	Tspan18
chr2	104494324	104494492	169	*	X443	15259	104426481	104494446	67966	-	0	overlapStart	0	Hipk3
chr2	104494547	104494717	171	*	X444	15259	104426481	104494446	67966	-	100	upstream	100	Hipk3
chr2	109917714	109918248	535	*	X445	107515	109917647	110014257	96611	+	0	inside	66	Lgr4
chr2	112239635	112239948	314	*	X446	99010	112239468	112247111	7644	+	0	inside	166	Lpcat4
chr2	117121060	117121652	593	*	X448	114715	117121374	117182279	60906	+	0	overlapStart	0	Spred1
chr2	118745735	118746069	335	*	X450	100043272	118745758	118748810	3053	+	0	overlapStart	0	Inafm2
chr2	119742156	119742235	80	*	X452	228550	119742337	119751263	8927	+	101	upstream	101	Itpka
chr2	119742290	119742588	299	*	X453	228550	119742337	119751263	8927	+	0	overlapStart	0	Itpka
chr2	127336148	127336520	373	*	X454	13537	127336159	127338376	2218	+	0	overlapStart	0	Dusp2
chr2	130295128	130295273	146	*	X457	228598	130295169	130370481	75313	+	0	overlapStart	0	Ebf4
chr2	130295457	130295541	85	*	X458	228598	130295169	130370481	75313	+	0	inside	287	Ebf4
chr2	132144795	132145156	362	*	X459	54338	132052496	132145108	92613	-	0	overlapStart	0	Slc23a2
chr2	132846829	132847142	314	*	X460	66586	132846666	132866785	20120	+	0	inside	162	Crls1
chr2	144010678	144011029	352	*	X461	81910	143947395	144011263	63869	-	0	inside	233	Rrbp1
chr2	152397806	152398302	497	*	X464	20667	152393611	152398063	4453	-	0	overlapStart	0	Sox12
chr2	153529638	153530586	949	*	X466	329540	153407462	153529971	122510	-	0	overlapStart	0	Nol4l
chr2	153649399	153649704	306	*	X467	13436	153649450	153687730	38281	+	0	overlapStart	0	Dnmt3b
chr2	154791230	154791727	498	*	X468	19383	154791096	154867261	76166	+	0	inside	133	Raly
chr2	154791230	154791727	498	*	X468	50518	154791402	155051012	259611	+	0	overlapStart	0	a
chr2	155276482	155276893	412	*	X469	66734	155276297	155278073	1777	+	0	inside	184	Map1lc3a
chr2	155473438	155473850	413	*	X471	56406	155390656	155473894	83239	-	0	inside	43	Ncoa6
chr2	156720864	156720923	60	*	X472	74846	156714540	156720909	6370	-	0	overlapStart	0	4930405A21Rik
chr2	156720978	156721209	232	*	X473	74846	156714540	156720909	6370	-	68	upstream	68	4930405A21Rik
chr2	160731379	160731871	493	*	X474	18803	160731300	160775760	44461	+	0	inside	78	Plcg1
chr2	166713555	166713829	275	*	X475	277360	166566342	166713832	147491	-	0	inside	2	Prex1
chr2	167348698	167349069	372	*	X476	56336	167298444	167349183	50740	-	0	inside	113	B4galt5
chr2	167688725	167690091	1367	*	X477	12608	167688915	167690418	1504	+	0	overlapStart	0	Cebpb
chr2	167688725	167690091	1367	*	X477	329562	167691177	167729172	37996	+	1085	upstream	1085	A530013C23Rik
chr2	167688725	167690091	1367	*	X477	407243	167642608	167689822	47215	-	0	overlapStart	0	Tmem189
chr2	168080900	168081387	488	*	X478	58220	168081004	168101203	20200	+	0	overlapStart	0	Pard6b
chr2	168206591	168206937	347	*	X479	11538	168180986	168207112	26127	-	0	inside	174	Adnp
chr2	174110187	174110239	53	*	X481	228961	174110349	174123070	12722	+	109	upstream	109	Npepl1
chr2	174110352	174110876	525	*	X482	228961	174110349	174123070	12722	+	0	inside	2	Npepl1
chr2	179976120	179976150	31	*	X486	66730	179975993	179979013	3021	+	0	inside	126	4921531C22Rik
chr2	179976267	179976719	453	*	X487	228980	179912152	179976646	64495	-	0	overlapStart	0	Taf4
chr2	179976267	179976719	453	*	X487	66730	179975993	179979013	3021	+	0	inside	273	4921531C22Rik
chr2	181287779	181287976	198	*	X488	229004	181251449	181288035	36587	-	0	inside	58	Gmeb2
chr2	181458962	181459463	502	*	X489	72147	181387762	181459426	71665	-	0	overlapStart	0	Zbtb46
chr2	181459602	181459757	156	*	X490	72147	181387762	181459426	71665	-	175	upstream	175	Zbtb46
chr3	8667396	8667570	175	*	X491	15213	8663359	8667256	3898	-	139	upstream	139	Hey1
chr3	19311055	19311394	340	*	X492	18583	19223108	19311322	88215	-	0	overlapStart	0	Pde7a
chr3	22076811	22077319	509	*	X493	81004	22076652	22216594	139943	+	0	inside	158	Tbl1xr1
chr3	31094919	31095274	356	*	X494	20482	31095058	31122577	27520	+	0	overlapStart	0	Skil
chr3	32616342	32616651	310	*	X495	14696	32580332	32616585	36254	-	0	overlapStart	0	Gnb4
chr3	35754092	35754545	454	*	X496	76295	35754134	35856276	102143	+	0	overlapStart	0	Atp11b
chr3	38484566	38484837	272	*	X500	99696	38449259	38484844	35586	-	0	inside	6	Ankrd50
chr3	40949782	40950529	748	*	X501	214048	40949828	41012377	62550	+	0	overlapStart	0	Larp1b
chr3	51341274	51341363	90	*	X502	69257	51252720	51340663	87944	-	610	upstream	610	Elf2
chr3	51341467	51341625	159	*	X503	69257	51252720	51340663	87944	-	803	upstream	803	Elf2
chr3	68869630	68870100	471	*	X504	68725	68869586	68872163	2578	+	0	inside	43	1110032F04Rik
chr3	69722091	69722414	324	*	X505	97112	69721985	69756373	34389	+	0	inside	105	Nmd3
chr3	79286898	79287302	405	*	X506	76089	79062516	79286517	224002	-	380	upstream	380	Rapgef2
chr3	84814677	84814991	315	*	X507	50754	84815268	84979198	163931	+	276	upstream	276	Fbxw7
chr3	86224122	86224424	303	*	X508	80877	86224680	86782692	558013	+	255	upstream	255	Lrba
chr3	96594387	96594625	239	*	X509	69870	96577872	96594181	16310	-	205	upstream	205	Polr3gl
chr3	100685588	100685927	340	*	X511	17156	100562208	100685503	123296	-	84	upstream	84	Man1a2
chr3	102204424	102204598	175	*	X512	229658	102153583	102204693	51111	-	0	inside	94	Vangl1
chr3	135438900	135439252	353	*	X516	319587	135436209	135438665	2457	-	234	upstream	234	4930539J05Rik
chr3	135691292	135691546	255	*	X518	18033	135584655	135691547	106893	-	0	inside	0	Nfkb1
chr3	136669982	136670496	515	*	X519	19055	136670124	136937727	267604	+	0	overlapStart	0	Ppp3ca
chr3	138742070	138742201	132	*	X521	56224	138742195	138907905	165711	+	0	overlapStart	0	Tspan5
chr3	138742252	138742395	144	*	X522	56224	138742195	138907905	165711	+	0	inside	56	Tspan5
chr3	145987908	145988345	438	*	X523	214804	145987870	146021720	33851	+	0	inside	37	Syde2
chr4	11190794	11191154	361	*	X524	12448	11191351	11204779	13429	+	196	upstream	196	Ccne2
chr4	32238491	32238768	278	*	X525	12014	32238804	32586108	347305	+	35	upstream	35	Bach2
chr4	32238907	32239220	314	*	X526	12014	32238804	32586108	347305	+	0	inside	102	Bach2
chr4	33031253	33031699	447	*	X527	100504166	33027142	33031323	4182	-	0	overlapStart	0	4933421O10Rik
chr4	33031253	33031699	447	*	X527	56228	33031416	33052363	20948	+	0	overlapStart	0	Ube2j1
chr4	43631452	43631714	263	*	X528	230103	43631935	43651244	19310	+	220	upstream	220	Npr2
chr4	44233582	44233662	81	*	X529	73469	44126210	44233789	107580	-	0	inside	126	Rnf38
chr4	44233726	44233941	216	*	X530	73469	44126210	44233789	107580	-	0	overlapStart	0	Rnf38
chr4	44234104	44234148	45	*	X531	73469	44126210	44233789	107580	-	314	upstream	314	Rnf38
chr4	46601956	46602120	165	*	X534	107684	46536937	46602202	65266	-	0	inside	81	Coro2a
chr4	53440413	53440732	320	*	X535	100434	53440413	53622478	182066	+	0	inside	0	Slc44a1
chr4	58911761	58912452	692	*	X536	230249	58798911	58912749	113839	-	0	inside	296	Ecpas
chr4	59189100	59189602	503	*	X537	22234	59189257	59222833	33577	+	0	overlapStart	0	Ugcg
chr4	83486125	83486516	392	*	X538	101739	83455680	83486459	30780	-	0	overlapStart	0	Psip1
chr4	93334918	93335535	618	*	X541	69136	93334138	93335511	1374	-	0	overlapStart	0	Tusc1
chr4	101356240	101356609	370	*	X542	77866	101346531	101356248	9718	-	0	overlapStart	0	E130102H24Rik
chr4	106316072	106316671	600	*	X544	329908	106316213	106441322	125110	+	0	overlapStart	0	Usp24
chr4	107434363	107434446	84	*	X548	230587	107434591	107635061	200471	+	144	upstream	144	Glis1
chr4	107434636	107434793	158	*	X549	230587	107434591	107635061	200471	+	0	inside	44	Glis1
chr4	107802153	107802167	15	*	X550	16975	107801869	107876840	74972	+	0	inside	283	Lrp8
chr4	114908178	114908964	787	*	X552	100040736	114909257	114921967	12711	+	292	upstream	292	Foxd2os
chr4	114908178	114908964	787	*	X552	17301	114906282	114908873	2592	-	0	overlapStart	0	Foxd2
chr4	115939782	115939975	194	*	X553	140477	115915119	115939926	24808	-	0	overlapStart	0	Dmbx1
chr4	115940096	115940114	19	*	X554	140477	115915119	115939926	24808	-	169	upstream	169	Dmbx1
chr4	116463772	116464126	355	*	X555	17776	116306762	116464183	157422	-	0	inside	56	Mast2
chr4	119539751	119540071	321	*	X557	433752	119530308	119539529	9222	-	221	upstream	221	Frg2f1
chr4	120287470	120287885	416	*	X558	329934	120267079	120287349	20271	-	120	upstream	120	Foxo6
chr4	123664397	123665058	662	*	X559	102633214	123665881	123671217	5337	+	822	upstream	822	Gm12925
chr4	128805869	128805898	30	*	X560	230761	128773088	128806045	32958	-	0	inside	146	Zfp362
chr4	128805945	128806247	303	*	X561	230761	128773088	128806045	32958	-	0	overlapStart	0	Zfp362
chr4	129136847	129136893	47	*	X563	384061	129136999	129144593	7595	+	105	upstream	105	Fndc5
chr4	129136938	129137157	220	*	X564	384061	129136999	129144593	7595	+	0	overlapStart	0	Fndc5
chr4	130573744	130574146	403	*	X566	67149	130531602	130574173	42572	-	0	inside	26	Nkain1
chr4	130792393	130792470	78	*	X567	20970	130792537	130826319	33783	+	66	upstream	66	Sdc3
chr4	130792619	130792785	167	*	X568	20970	130792537	130826319	33783	+	0	inside	81	Sdc3
chr4	134287369	134287748	380	*	X570	230809	134275002	134287895	12894	-	0	inside	146	Pdik1l
chr4	138216575	138216986	412	*	X575	15441	138216296	138244683	28388	+	0	inside	278	Hp1bp3
chr4	149307363	149307665	303	*	X577	16561	149176319	149307693	131375	-	0	inside	27	Kif1b
chr4	151861492	151861759	268	*	X579	100072	150917322	151861876	944555	-	0	inside	116	Camta1
chr4	151933425	151933600	176	*	X580	230935	151933691	151982137	48447	+	90	upstream	90	Dnajc11
chr4	151933686	151934169	484	*	X581	230935	151933691	151982137	48447	+	0	overlapStart	0	Dnajc11
chr4	155491307	155491385	79	*	X583	14688	155491361	155559269	67909	+	0	overlapStart	0	Gnb1
chr4	155491409	155491618	210	*	X584	14688	155491361	155559269	67909	+	0	inside	47	Gnb1
chr4	155734846	155735196	351	*	X585	381582	155734800	155740564	5765	+	0	inside	45	Tmem240
chr4	156235991	156236343	353	*	X587	231003	156229044	156234857	5814	-	1133	upstream	1133	Klhl17
chr4	156235991	156236343	353	*	X587	57741	156235919	156247616	11698	+	0	inside	71	Noc2l
chr5	3928164	3928627	464	*	X588	100986	3928054	4081310	153257	+	0	inside	109	Akap9
chr5	24351241	24351630	390	*	X590	16511	24319589	24351604	32016	-	0	overlapStart	0	Kcnh2
chr5	24451976	24452431	456	*	X591	213990	24452177	24502047	49871	+	0	overlapStart	0	Agap3
chr5	25499041	25499660	620	*	X592	231051	25271798	25498783	226986	-	257	upstream	257	Kmt2c
chr5	33274736	33275011	276	*	X593	13016	33247723	33274994	27272	-	0	overlapStart	0	Ctbp1
chr5	33275059	33275175	117	*	X594	13016	33247723	33274994	27272	-	64	upstream	64	Ctbp1
chr5	33820144	33820573	430	*	X595	107823	33820725	33897975	77251	+	151	upstream	151	Nsd2
chr5	36695554	36695859	306	*	X596	320661	36584788	36696024	111237	-	0	inside	164	D5Ertd579e
chr5	43233113	43233504	392	*	X597	231207	43233170	43289724	56555	+	0	overlapStart	0	Cpeb2
chr5	43234017	43235067	1051	*	X598	665934	43151686	43235355	83670	-	0	inside	287	Gm7854
chr5	44226379	44226646	268	*	X599	231225	44175154	44226626	51473	-	0	overlapStart	0	Tapt1
chr5	44226788	44226850	63	*	X600	231225	44175154	44226626	51473	-	161	upstream	161	Tapt1
chr5	52190019	52190321	303	*	X602	13204	52150203	52190514	40312	-	0	inside	192	Dhx15
chr5	52190019	52190321	303	*	X602	414108	52190672	52279034	88363	+	350	upstream	350	9230114K14Rik
chr5	53998523	53999074	552	*	X603	116873	53998499	54121057	122559	+	0	inside	23	Stim2
chr5	64803016	64803201	186	*	X604	16599	64803388	64832901	29514	+	186	upstream	186	Klf3
chr5	65697769	65698305	537	*	X605	71521	65605721	65698273	92553	-	0	overlapStart	0	Pds5a
chr5	67847572	67847621	50	*	X606	11980	67618140	67847434	229295	-	137	upstream	137	Atp8a1
chr5	67847285	67847432	148	*	X607	11980	67618140	67847434	229295	-	0	inside	1	Atp8a1
chr5	74068247	74068551	305	*	X609	69727	73998453	74068431	69979	-	0	overlapStart	0	Usp46
chr5	75044340	75044646	307	*	X610	74277	74997988	75044774	46787	-	0	inside	127	Chic2
chr5	75044698	75044758	61	*	X611	74277	74997988	75044774	46787	-	0	inside	15	Chic2
chr5	88675774	88676124	351	*	X612	231413	88659448	88676171	16724	-	0	inside	46	Grsf1
chr5	96997532	96997637	106	*	X615	140780	96997689	97091867	94179	+	51	upstream	51	Bmp2k
chr5	96997715	96998112	398	*	X616	140780	96997689	97091867	94179	+	0	inside	25	Bmp2k
chr5	105415664	105415711	48	*	X617	433926	105415775	105490074	74300	+	63	upstream	63	Lrrc8b
chr5	105415773	105416034	262	*	X618	433926	105415775	105490074	74300	+	0	overlapStart	0	Lrrc8b
chr5	105699945	105700490	546	*	X619	231549	105699969	105832436	132468	+	0	overlapStart	0	Lrrc8d
chr5	110448029	110448433	405	*	X621	381668	110361754	110448602	86849	-	0	inside	168	Fbrsl1
chr5	110879661	110880030	370	*	X622	209683	110879803	111289780	409978	+	0	overlapStart	0	Ttc28
chr5	115011254	115011609	356	*	X623	74585	115011137	115098790	87654	+	0	inside	116	Sppl3
chr5	115193618	115194105	488	*	X624	29867	115168689	115194381	25693	-	0	inside	275	Cabp1
chr5	115327164	115327482	319	*	X625	108014	115327177	115333080	5904	+	0	overlapStart	0	Srsf9
chr5	115631778	115631847	70	*	X626	66123	115631049	115631816	768	-	0	overlapStart	0	1110006O24Rik
chr5	115631778	115631847	70	*	X626	77407	115631908	115647736	15829	+	60	upstream	60	Rab35
chr5	115631913	115632346	434	*	X627	66123	115631049	115631816	768	-	96	upstream	96	1110006O24Rik
chr5	115631913	115632346	434	*	X627	77407	115631908	115647736	15829	+	0	inside	4	Rab35
chr5	115731345	115731572	228	*	X628	75665	115648175	115731621	83447	-	0	inside	48	Bicdl1
chr5	115731767	115732265	499	*	X629	75665	115648175	115731621	83447	-	145	upstream	145	Bicdl1
chr5	115732319	115732520	202	*	X630	75665	115648175	115731621	83447	-	697	upstream	697	Bicdl1
chr5	117357332	117357535	204	*	X631	59043	117357304	117378601	21298	+	0	inside	27	Wsb2
chr5	118559926	118560197	272	*	X632	76199	118560679	118765438	204760	+	481	upstream	481	Med13l
chr5	118560435	118560936	502	*	X633	76199	118560679	118765438	204760	+	0	overlapStart	0	Med13l
chr5	122049779	122050277	499	*	X635	13048	121856366	122050102	193737	-	0	overlapStart	0	Cux2
chr5	122501630	122502263	634	*	X636	11938	122453513	122502225	48713	-	0	overlapStart	0	Atp2a2
chr5	124249264	124249920	657	*	X639	19679	124118690	124249760	131071	-	0	overlapStart	0	Pitpnm2
chr5	124861741	124862150	410	*	X642	215707	124834418	124862424	28007	-	0	inside	273	Ccdc92
chr5	124861741	124862150	410	*	X642	269704	124862691	124902693	40003	+	540	upstream	540	Zfp664
chr5	125178783	125179175	393	*	X643	20602	125017153	125179219	162067	-	0	inside	43	Ncor2
chr5	129942215	129942508	294	*	X644	69568	129941970	129986692	44723	+	0	inside	244	Vkorc1l1
chr5	135250884	135251288	405	*	X646	14371	135248938	135251230	2293	-	0	overlapStart	0	Fzd9
chr5	135251331	135251331	1	*	X647	14371	135248938	135251230	2293	-	100	upstream	100	Fzd9
chr5	139150434	139150848	415	*	X650	19085	139017306	139150001	132696	-	432	upstream	432	Prkar1b
chr5	139150434	139150848	415	*	X650	433956	139150223	139186510	36288	+	0	inside	210	Dnaaf5
chr5	139325091	139325657	567	*	X652	231821	139271876	139325622	53747	-	0	overlapStart	0	Adap1
chr5	140830113	140830379	267	*	X653	14673	140758408	140830431	72024	-	0	inside	51	Gna12
chr5	142401421	142401915	495	*	X654	17425	142401497	142462011	60515	+	0	overlapStart	0	Foxk1
chr5	143732160	143732308	149	*	X655	76800	143710325	143732280	21956	-	0	overlapStart	0	Usp42
chr5	143732362	143732472	111	*	X656	76800	143710325	143732280	21956	-	81	upstream	81	Usp42
chr5	144965453	144965996	544	*	X657	75788	144876495	144965847	89353	-	0	overlapStart	0	Smurf1
chr5	146231334	146231698	365	*	X658	264064	146231230	146302874	71645	+	0	inside	103	Cdk8
chr5	146794449	146794816	368	*	X659	22217	146734809	146795006	60198	-	0	inside	189	Usp12
chr5	147430444	147430877	434	*	X660	72587	147430161	147548502	118342	+	0	inside	282	Pan3
chr5	150118634	150118850	217	*	X664	320365	150118645	150497753	379109	+	0	overlapStart	0	Fry
chr6	7844786	7845135	350	*	X665	94192	7844842	7875687	30846	+	0	overlapStart	0	C1galt1
chr6	38253947	38254141	195	*	X669	330286	38123174	38254009	130836	-	0	overlapStart	0	D630045J12Rik
chr6	38254323	38254325	3	*	X670	330286	38123174	38254009	130836	-	313	upstream	313	D630045J12Rik
chr6	38434221	38434727	507	*	X671	320538	38433950	38524825	90876	+	0	inside	270	Ubn2
chr6	38875782	38876495	714	*	X672	15258	38694390	38876165	181776	-	0	overlapStart	0	Hipk2
chr6	39206544	39206752	209	*	X673	338523	39136623	39206789	70167	-	0	inside	36	Kdm7a
chr6	39206851	39206857	7	*	X674	338523	39136623	39206789	70167	-	61	upstream	61	Kdm7a
chr6	48048351	48048847	497	*	X676	72306	48024188	48048911	24724	-	0	inside	63	Zfp777
chr6	50110242	50110577	336	*	X677	56524	50110241	50198939	88699	+	0	inside	0	Mpp6
chr6	72899126	72899772	647	*	X678	74287	72841114	72899979	58866	-	0	inside	206	Kcmf1
chr6	72900038	72900278	241	*	X679	74287	72841114	72899979	58866	-	58	upstream	58	Kcmf1
chr6	85374490	85374650	161	*	X681	52055	85334962	85374634	39673	-	0	overlapStart	0	Rab11fip5
chr6	85374782	85374821	40	*	X682	52055	85334962	85374634	39673	-	147	upstream	147	Rab11fip5
chr6	86525881	86526107	227	*	X683	23983	86524492	86526321	1830	-	0	inside	213	Pcbp1
chr6	86525881	86526107	227	*	X683	72012	86526247	86582036	55790	+	139	upstream	139	1600020E01Rik
chr6	89362023	89362592	570	*	X684	18844	89316314	89362620	46307	-	0	inside	27	Plxna1
chr6	90988054	90988440	387	*	X685	232227	90656088	90988685	332598	-	0	inside	244	Iqsec1
chr6	90988531	90988552	22	*	X686	232227	90656088	90988685	332598	-	0	inside	132	Iqsec1
chr6	92091214	92091937	724	*	X687	22026	92091390	92174294	82905	+	0	overlapStart	0	Nr2c2
chr6	100287662	100287825	164	*	X688	56353	100228565	100287485	58921	-	176	upstream	176	Rybp
chr6	115994567	115994842	276	*	X690	67784	115954811	115995005	40195	-	0	inside	162	Plxnd1
chr6	115994996	115995090	95	*	X691	67784	115954811	115995005	40195	-	0	overlapStart	0	Plxnd1
chr6	119479312	119479917	606	*	X692	101358	119479668	119482630	2963	+	0	overlapStart	0	Fbxl14
chr6	120493089	120493792	704	*	X693	94047	120488939	120493807	4869	-	0	inside	14	Tmem121b
chr6	120666039	120666172	134	*	X694	330409	120666369	120771190	104822	+	196	upstream	196	Cecr2
chr6	120666295	120667130	836	*	X695	330409	120666369	120771190	104822	+	0	overlapStart	0	Cecr2
chr6	124756335	124756478	144	*	X696	13498	124739189	124756524	17336	-	0	inside	45	Atn1
chr6	124756563	124756720	158	*	X697	13498	124739189	124756524	17336	-	38	upstream	38	Atn1
chr6	131388137	131388463	327	*	X700	56449	131364855	131388476	23622	-	0	inside	12	Ybx3
chr6	134566474	134567084	611	*	X701	16974	134446476	134566965	120490	-	0	overlapStart	0	Lrp6
chr7	7297740	7297936	197	*	X706	100885832	7298891	7298946	56	+	954	upstream	954	Mir5620
chr7	27166487	27166769	283	*	X712	112406	27158658	27166802	8145	-	0	inside	32	Egln2
chr7	27166833	27166906	74	*	X713	112406	27158658	27166802	8145	-	30	upstream	30	Egln2
chr7	27446404	27446499	96	*	X715	233016	27447978	27466144	18167	+	1478	upstream	1478	Blvrb
chr7	27446677	27446721	45	*	X716	233016	27447978	27466144	18167	+	1256	upstream	1256	Blvrb
chr7	28452035	28452356	322	*	X717	80749	28451980	28468242	16263	+	0	inside	54	Lrfn1
chr7	29304007	29304185	179	*	X718	29861	29303951	29317588	13638	+	0	inside	55	Dpf1
chr7	30445167	30445507	341	*	X719	11803	30434982	30445535	10554	-	0	inside	27	Aplp1
chr7	30956208	30957387	1180	*	X720	22282	30945248	30956803	11556	-	0	overlapStart	0	Usf2
chr7	35119549	35120379	831	*	X721	12606	35119303	35121928	2626	+	0	inside	245	Cebpa
chr7	38107371	38107491	121	*	X722	12447	38097984	38107534	9551	-	0	inside	42	Ccne1
chr7	38107742	38107831	90	*	X723	12447	38097984	38107534	9551	-	207	upstream	207	Ccne1
chr7	67951582	67952119	538	*	X726	16001	67952827	68233668	280842	+	707	upstream	707	Igf1r
chr7	73557937	73558330	394	*	X727	69170	73539203	73558395	19193	-	0	inside	64	Chaserr
chr7	79465867	79466205	339	*	X728	18975	79446231	79466362	20132	-	0	inside	156	Polg
chr7	80688434	80688967	534	*	X729	70461	80586627	80688877	102251	-	0	overlapStart	0	Crtc3
chr7	80993673	80993920	248	*	X730	233410	80993681	81045164	51484	+	0	overlapStart	0	Zfp592
chr7	82866331	82866498	168	*	X731	108797	82867333	82871515	4183	+	834	upstream	834	Mex3b
chr7	83883663	83884227	565	*	X732	67943	83884466	83901532	17067	+	238	upstream	238	Mesd
chr7	83883663	83884227	565	*	X732	80889	83879873	83884305	4433	-	0	inside	77	Tlnrd1
chr7	84151549	84152053	505	*	X733	70178	84109356	84151893	42538	-	0	overlapStart	0	Abhd17c
